"Category","Brand_Description","Price","Review_Count","Rating"
"Tumbler"," +16 colors/patternsFimibuke 40 oz Tumbler with Handle & Fruit Infuser, Stainless Steel Vacuum Insulated Cup with Lid & Straw, Water Infusion Bottle Cupholder Friendly Travel Mug Valentines Day Gifts for Women Men Her  4.7 out of 5 stars 71  300+ bought in past monthLimited time deal   $9.99$9.99 Typical: $19.99$19.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ","9.","Amazon's Choice: Overall Pick","4.7 out of 5 stars"
"Tumbler"," +27 colors/patternsSimple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly | Gifts for Women Men Him Her | Trek Collection | Almond Birch  Stainless Steel4.8 out of 5 stars 23,801  10K+ bought in past month$29.99$29.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonMore Buying Choices$20.83(16 used & new offers)","29.","Stainless Steel","4.8 out of 5 stars"
"Tumbler"," +1 color/patternALBOR 30 oz Tumbler With Handle and Straw, Tumbler, Insulated Tumblers, Tumbler With Lid And Straw, Stainless Steel Tumblers, Tumblers With Lids And Straws, Tumbler With Handle (Metal)  Stainless Steel4.7 out of 5 stars 2,824  100+ bought in past monthLimited time deal   $8.49$8.49 Typical: $16.99$16.99 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon","8.","Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +6 colors/patternsZenbo 40 oz tumbler with handle and straw,Keeps Drinks Cold up to 34 Hours,Fit in Car Cup Holder,Dishwasher Safe and BPA Free  Stainless Steel4.4 out of 5 stars 325  100+ bought in past monthLimited time deal   $11.99$11.99 List: $23.99$23.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ","11.","Stainless Steel","4.4 out of 5 stars"
"Tumbler"," +6 colors/patternsALBOR 20 oz Tumbler - Insulated Coffee Tumbler With Handle and Straw, Coffee Thermos, Travel Coffee Mug Cup, Coffee Travel Mug, Insulated Coffee Mug with Lid, Insulated Tumblers (Peony Pink)  🏆Best Tumbler & Handle4.7 out of 5 stars 7,776  600+ bought in past monthLimited time deal   $8.39$8.39 Typical: $11.99$11.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ","8.","🏆Best Tumbler & Handle","4.7 out of 5 stars"
"Tumbler"," +22STANLEY IceFlow Stainless Steel Tumbler with Straw, Vacuum Insulated Water Bottle for Home, Office or Car, Reusable Cup with Straw Leakproof Flip  Stainless Steel4.6 out of 5 stars 23,327  4K+ bought in past month$35.00$35.00 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 More Buying Choices$24.36(28 used & new offers)","35.","Amazon's Choice: Popular Brand Pick","4.6 out of 5 stars"
"Tumbler"," +7 colors/patternsZenbo 40 oz Tumbler with Handle, Straw Lid, and Cupholder-Friendly Design | Insulated Stainless Steel Travel Mug, Reusable Water Bottle | Leak-Proof, Dishwasher Safe  Stainless Steel4.5 out of 5 stars 126  50+ bought in past monthLimited time deal   $11.47$11.47 Typical: $22.95$22.95 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon","11.","Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +3All Around Travel Tumbler with Handle Stainless Steel Double-Wall Vacuum Insulated  Stainless Steel4.7 out of 5 stars 2,058  3K+ bought in past monthLimited time deal   $34.95$34.95 List: $39.95$39.95 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 More Buying Choices$26.03(10 used & new offers)","34.","Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +25Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee  Stainless Steel4.7 out of 5 stars 42,952  20K+ bought in past month$45.00$45.00 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 More Buying Choices$40.43(63 used & new offers)","45.","Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +14 colors/patternsInsulated 40oz Tumbler with Handle and Straw Lid - 100% Leak-Proof - Cupholder Friendly Travel Mug - Stainless Steel Insulated Tumbler with lid and straw - Gifts for Women Men Him Her  Stainless Steel4.5 out of 5 stars 507  4K+ bought in past month$16.99$16.99 List: $34.99$34.99 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon","16.","Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +18 colors/patterns30 oz Tumbler with Lids and Straws,18/8 Stainless Steel Vacuum Insulated Coffee Tumbler,Insulated Travel Mug Water Cup with Leak-Proof Straw Lid & Flip Lid,3 Metal Straws,1 Cleaning Brush & Gift Box  Stainless Steel4.5 out of 5 stars 6,230  300+ bought in past monthNo featured offers available$7.49(1 new offer)","","Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +11Fimibuke 40 oz Tumbler with Handle & Carrier Bag, Stainless Steel Insulated Cup with Lid & Straw & Purse Pouch Phone Pocket, Gym Water Bottle Cupholder Friendly Women Men Travel Mug with Sleeve Holder  Stainless Steel4.6 out of 5 stars 461  Limited time deal   $13.99$13.99 List: $39.99$39.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ","13.","Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +22 colors/patterns40oz Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More (Gradient Rainbow)  Stainless Steel4.6 out of 5 stars 1,000  500+ bought in past month$9.99$9.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 ","9.","Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +19 colors/patternsBJPKPK Tumbler With Handle And Straw 30oz Insulated Tumbler Cups With Lid Stainless Steel Travel Coffee Mug,Lemon  Options:2 sizes4.8 out of 5 stars 788  200+ bought in past month$15.20$15.20 List: $18.99$18.99FREE delivery on $35 shipped by Amazon.","15.","788","4.8 out of 5 stars"
"Tumbler"," +3 colors/patternsHydroJug Traveler - Modern 40 oz Tumbler with Handle & Simple Flip Straw - Car Cup Holder Friendly, Leak Resistant Water Bottle-Reusable Insulated Stainless Steel & Rubber Base - Gifts for Women & Men  Stainless Steel4.4 out of 5 stars 47  2K+ bought in past month$39.99$39.99 ($13.33$13.33/Fl Oz)FREE deliverySmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","39.","Stainless Steel","4.4 out of 5 stars"
"Tumbler"," ELYPRO - Tumbler Lid Organizer - Horizontal - Self-Adhesive Under-Cabinet Mount, Space-Saving Design, Holds Multiple Lids, Clutter-Free Kitchen Cabinets and Countertops Organization, Steel, Silver  500+ bought in past month$14.99$14.99FREE delivery on $35 shipped by Amazon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","14.","500+ bought in past month",""
"Tumbler"," +2 colors/patternsBrüMate Era 30 oz Tumbler with Handle and Straw | 100% Leakproof Insulated Tumbler with Lid and Straw | Made of Stainless Steel | Cup Holder Friendly Base | 30oz (Verbena)  Stainless SteelOptions:2 sizes4.6 out of 5 stars 162  900+ bought in past month$39.99$39.99FREE deliverySmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","39.","Stainless Steel","4.6 out of 5 stars"
