"Category","Brand_Description","Price","Review_Count","Rating"
"Dog Toy ball"," Chuckit! Ultra Ball Dog Toy, Medium (2.5 Inch Diameter) Pack of 2, for breeds 20-60 lbs  Options:9 sizes4.8 out of 5 stars 171,455  30K+ bought in past month$5.30$5.30 List: $13.99$13.99$5.04 with Subscribe & Save discountSave 5% on 4 select item(s) FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","5.","171,455","4.8 out of 5 stars"
"Dog Toy ball"," Wobble Wag Giggle Ball, Interactive Dog Toy, Fun Giggle Sounds When Rolled or Shaken, Pets Know Best, As Seen On TV Medium  4.1 out of 5 stars 93,413  10K+ bought in past month$14.97$14.97 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 More Buying Choices$8.21(3 used & new offers)","14.","93,413","4.1 out of 5 stars"
"Dog Toy ball"," PetDroid Interactive Dog Toys Dog Ball,[2023 Newly Upgraded] Durable Motion Activated Automatic Rolling Ball Toys for Puppy/Small/Medium/Large Dogs,USB Rechargeable  3.8 out of 5 stars 10,954  10K+ bought in past month$25.00$25.00 ($25.00$25.00/Count) List: $39.99$39.99$3.00 coupon applied at checkoutSave $3.00  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","25.","10,954","3.8 out of 5 stars"
"Dog Toy ball"," Chuckit! Indoor Fetch Ball Dog Toy (4.75 Inch), Orange and Blue  4.4 out of 5 stars 27,938  9K+ bought in past month$6.50$6.50 Typical: $7.58$7.58$6.18 with Subscribe & Save discount FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","6.","27,938","4.4 out of 5 stars"
"Dog Toy ball"," Virtually Indestructible Best Ball for Dogs, 10-inch  Options:5 sizes4.1 out of 5 stars 10,986  8K+ bought in past month$18.95$18.95 List: $31.49$31.49 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 More Buying Choices$18.06(8 used & new offers)","18.","10,986","4.1 out of 5 stars"
"Dog Toy ball"," Planet Dog Orbee-Tuff Snoop Interactive Treat Dispensing Dog Toy, Large, Blue  4.4 out of 5 stars 12,031  5K+ bought in past month$9.12$9.12 List: $16.99$16.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","9.","12,031","4.4 out of 5 stars"
"Dog Toy ball"," Chuckit! Dog Fetch Ball Medley, Medium, 3 Pack, Ultra, Rugged Balls Included  Options:2 sizes4.8 out of 5 stars 15,983  3K+ bought in past month$8.50$8.50 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","8.","15,983","4.8 out of 5 stars"
"Dog Toy ball"," Chuckit Max Glow Ball Dog Toy, Medium (2.5 Inch Diameter) for dogs 20-60 lbs, Pack of 2  Options:5 sizes4.7 out of 5 stars 35,542  3K+ bought in past month$13.58$13.58 List: $15.99$15.99$12.90 with Subscribe & Save discount FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 More Buying Choices$12.89(4 new offers)","13.","35,542","4.7 out of 5 stars"
"Dog Toy ball"," BARHOMO Dog Balls,The 3rd Generation Interactive Toys for Puppy/Small/Medium/Large Dogs,Improved Dog Rolling Effect Tennis Ball with Strap, Tough Motion Activated Automatic Moving Dog Ball Toys  4.1 out of 5 stars 631  5K+ bought in past month$24.99$24.99 ($24.99$24.99/Count)$5.00 coupon applied at checkoutSave $5.00  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","24.","631","4.1 out of 5 stars"
"Dog Toy ball"," Kong Air Squeaker Tennis Balls Size:Medium(6_Balls)  Options:3 sizes4.6 out of 5 stars 5,383  3K+ bought in past month$15.09$15.09 List: $20.99$20.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","15.","5,383","4.6 out of 5 stars"
"Dog Toy ball"," QDAN Dog Toys Soccer Ball with Straps, Interactive Dog Toys for Tug of War, Puppy Birthday Gifts, Dog Tug Toy, Dog Water Toy, Durable Dog Balls World Cup for Small & Medium Dogs（6 Inch）  Options:5 sizes4.4 out of 5 stars 9,057  2K+ bought in past month$15.99$15.99Buy 2, save 3% FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","15.","9,057","4.4 out of 5 stars"
"Dog Toy ball"," Banfeng Giant 9.5"" Dog Tennis Ball Large Pet Toys Funny Outdoor Sports Ball Gift with Inflating Needles for Small Medium Large Dog  4.0 out of 5 stars 11,108  3K+ bought in past month$13.98$13.98 List: $18.99$18.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","13.","11,108","4.0 out of 5 stars"
"Dog Toy ball"," Monster K9 Tough Dog Toys for Aggressive Chewers Large Breed, Ring Ball - Virtually Indestructible Dog Toy Balls for Large Breed and Medium Breed Dogs, Heavy-Duty Rubber Dog Toy Fetch Ball  4.6 out of 5 stars 2,888  2K+ bought in past month$24.99$24.99 ($24.99$24.99/Count) FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","24.","2,888","4.6 out of 5 stars"
"Dog Toy ball"," Dog Puzzle Teething Toys Ball: 2pack Treat Dispensing Dog Chew Toys Small Medium Breed Dog Aggressive Chewer Chew Enrichment Toys for Boredom and Brain Stimulating Game to Keep Them Busy  Options:2 sizes4.3 out of 5 stars 8,149  2K+ bought in past monthLimited time deal   $8.99$8.99 Typical: $9.99$9.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","8.","8,149","4.3 out of 5 stars"
"Dog Toy ball"," Chuckit! Medium Rebounce Ball 2.5"", 2 Pack, Blues & Purples (20320)  4.8 out of 5 stars 6,648  2K+ bought in past month$6.25$6.25$5.94 with Subscribe & Save discount FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","6.","6,648","4.8 out of 5 stars"
"Dog Toy ball"," VITEVER 3.5” Squeaky Dog Toy Balls (6 Colors) Puppy Chew Toys for Teething, BPA Free Non-Toxic, Spikey Medium, Large & Small Dogs, Durable Aggressive Chewers  Options:3 sizes4.6 out of 5 stars 2,330  2K+ bought in past month$13.99$13.99 List: $16.99$16.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","13.","2,330","4.6 out of 5 stars"
"Dog Toy ball"," Chuckit! Kick Fetch Ball Dog Toy, Large (8 Inch)  Options:2 sizes4.5 out of 5 stars 21,775  2K+ bought in past month$25.29$25.29 List: $33.99$33.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 More Buying Choices$19.00(13 used & new offers)","25.","21,775","4.5 out of 5 stars"
"Dog Toy ball"," luckdoor Interactive Dog Toys Snuffle Ball Encourage Natural Foraging Skills,Slow Food Training to Relieve Boredom and Stimulating,Cloth Strip with Hidden Food Dog Puzzle Toys for Medium Small Dogs  4.1 out of 5 stars 423  2K+ bought in past month$16.99$16.99 ($16.99$16.99/Count) FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","16.","423","4.1 out of 5 stars"
"Dog Toy ball"," Franklin Pet Supply Squeaky - Ready Set Fetch Dog Toy Tennis Balls with Squeaker - Perfect Pet Toy for Small, Medium + Large Dogs - 3 Pack  4.3 out of 5 stars 6,560  2K+ bought in past month$5.99$5.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","5.","6,560","4.3 out of 5 stars"
"Dog Toy ball"," Sofolor Interactive Dog Toys, Motion Activated Dog Ball, Automatic Rolling Ball Toys for Puppy/Small Dogs  4.1 out of 5 stars 222  2K+ bought in past month$21.55$21.55 ($21.55$21.55/Count) List: $29.99$29.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","21.","222","4.1 out of 5 stars"
"Dog Toy ball"," KONG - Jumbler Ball - Interactive Fetch Dog Toy with Tennis Ball - for Large/Extra Large Dogs (Assorted Colors)  Options:2 sizes4.5 out of 5 stars 14,496  2K+ bought in past month$18.99$18.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","18.","14,496","4.5 out of 5 stars"
